,Match,Player,Batting_position,Team,N/O,Runs,Balls Played,Minutes Played,Fours,Sixes,Strike Rate,Match Id
0,Namibia vs Sri Lanka,Michael van Lingen,1,Namibia,out,3.0,6.0,7.0,0.0,0.0,50.0,1298135
1,Namibia vs Sri Lanka,Divan la Cock,2,Namibia,out,9.0,9.0,15.0,1.0,0.0,100.0,1298135
2,Namibia vs Sri Lanka,Jan Nicol Loftie-Eaton,3,Namibia,out,20.0,12.0,18.0,1.0,2.0,166.66,1298135
3,Namibia vs Sri Lanka,Stephan Baard,4,Namibia,out,26.0,24.0,49.0,2.0,0.0,108.33,1298135
4,Namibia vs Sri Lanka,Gerhard Erasmus,5,Namibia,out,20.0,24.0,30.0,0.0,0.0,83.33,1298135
5,Namibia vs Sri Lanka,Jan Frylinck,6,Namibia,out,44.0,28.0,44.0,4.0,0.0,157.14,1298135
6,Namibia vs Sri Lanka,David Wiese,7,Namibia,out,0.0,1.0,4.0,0.0,0.0,0.0,1298135
7,Namibia vs Sri Lanka,JJ Smit,8,Namibia,out,31.0,16.0,29.0,2.0,2.0,193.75,1298135
8,Namibia vs Sri Lanka,Pathum Nissanka,1,Sri Lanka,out,9.0,10.0,16.0,1.0,0.0,90.0,1298135
9,Namibia vs Sri Lanka,Kusal Mendis,2,Sri Lanka,out,6.0,6.0,8.0,0.0,0.0,100.0,1298135
10,Namibia vs Sri Lanka,Dhananjaya de Silva,3,Sri Lanka,out,12.0,11.0,25.0,1.0,0.0,109.09,1298135
11,Namibia vs Sri Lanka,Danushka Gunathilaka,4,Sri Lanka,out,0.0,1.0,2.0,0.0,0.0,0.0,1298135
12,Namibia vs Sri Lanka,Bhanuka Rajapaksa,5,Sri Lanka,out,20.0,21.0,39.0,2.0,0.0,95.23,1298135
13,Namibia vs Sri Lanka,Dasun Shanaka,6,Sri Lanka,out,29.0,23.0,37.0,2.0,1.0,126.08,1298135
14,Namibia vs Sri Lanka,Wanindu Hasaranga de Silva,7,Sri Lanka,out,4.0,8.0,9.0,0.0,0.0,50.0,1298135
15,Namibia vs Sri Lanka,Chamika Karunaratne,8,Sri Lanka,out,5.0,8.0,15.0,0.0,0.0,62.5,1298135
16,Namibia vs Sri Lanka,Pramod Madushan,9,Sri Lanka,out,0.0,0.0,4.0,0.0,0.0,0.0,1298135
17,Namibia vs Sri Lanka,Dushmantha Chameera,10,Sri Lanka,out,8.0,15.0,20.0,0.0,0.0,53.33,1298135
18,Namibia vs Sri Lanka,Maheesh Theekshana,11,Sri Lanka,out,11.0,11.0,14.0,0.0,1.0,100.0,1298135
19,United Arab Emirates vs Netherlands,Chirag Suri,1,United Arab Emirates,out,12.0,20.0,28.0,1.0,0.0,60.0,1298136
20,United Arab Emirates vs Netherlands,Muhammad Waseem,2,United Arab Emirates,out,41.0,47.0,71.0,1.0,2.0,87.23,1298136
21,United Arab Emirates vs Netherlands,Kashif Daud,3,United Arab Emirates,out,15.0,14.0,19.0,0.0,1.0,107.14,1298136
22,United Arab Emirates vs Netherlands,Vriitya Aravind,4,United Arab Emirates,out,18.0,21.0,37.0,0.0,0.0,85.71,1298136
23,United Arab Emirates vs Netherlands,Zawar Farid,5,United Arab Emirates,out,2.0,4.0,8.0,0.0,0.0,50.0,1298136
24,United Arab Emirates vs Netherlands,Basil Hameed,6,United Arab Emirates,out,4.0,4.0,7.0,1.0,0.0,100.0,1298136
25,United Arab Emirates vs Netherlands,Chundangapoyil Rizwan,7,United Arab Emirates,out,1.0,2.0,7.0,0.0,0.0,50.0,1298136
26,United Arab Emirates vs Netherlands,Aayan Afzal Khan,8,United Arab Emirates,out,5.0,7.0,8.0,0.0,0.0,71.42,1298136
27,United Arab Emirates vs Netherlands,Karthik Meiyappan,9,United Arab Emirates,out,0.0,0.0,4.0,0.0,0.0,0.0,1298136
28,United Arab Emirates vs Netherlands,Junaid Siddique,10,United Arab Emirates,out,0.0,1.0,1.0,0.0,0.0,0.0,1298136
29,United Arab Emirates vs Netherlands,Vikramjit Singh,1,Netherlands,out,10.0,7.0,8.0,2.0,0.0,142.85,1298136
30,United Arab Emirates vs Netherlands,Max O'Dowd,2,Netherlands,out,23.0,18.0,25.0,3.0,1.0,127.77,1298136
31,United Arab Emirates vs Netherlands,Bas de Leede,3,Netherlands,out,14.0,18.0,37.0,1.0,0.0,77.77,1298136
32,United Arab Emirates vs Netherlands,Colin Ackermann,4,Netherlands,out,17.0,19.0,33.0,1.0,0.0,89.47,1298136
33,United Arab Emirates vs Netherlands,Tom Cooper,5,Netherlands,out,8.0,16.0,22.0,0.0,0.0,50.0,1298136
34,United Arab Emirates vs Netherlands,Scott Edwards,6,Netherlands,out,16.0,19.0,42.0,0.0,0.0,84.21,1298136
35,United Arab Emirates vs Netherlands,Roelof van der Merwe,7,Netherlands,out,0.0,2.0,4.0,0.0,0.0,0.0,1298136
36,United Arab Emirates vs Netherlands,Tim Pringle,8,Netherlands,out,15.0,16.0,26.0,0.0,0.0,93.75,1298136
37,United Arab Emirates vs Netherlands,Logan van Beek,9,Netherlands,out,4.0,4.0,7.0,0.0,0.0,100.0,1298136
38,Scotland vs West Indies,George Munsey,1,Scotland,out,66.0,53.0,106.0,9.0,0.0,124.52,1298137
39,Scotland vs West Indies,Michael Jones,2,Scotland,out,20.0,17.0,36.0,3.0,0.0,117.64,1298137
40,Scotland vs West Indies,Matthew Cross,3,Scotland,out,3.0,5.0,10.0,0.0,0.0,60.0,1298137
41,Scotland vs West Indies,Richie Berrington,4,Scotland,out,16.0,14.0,21.0,0.0,1.0,114.28,1298137
42,Scotland vs West Indies,Calum MacLeod,5,Scotland,out,23.0,14.0,15.0,4.0,0.0,164.28,1298137
43,Scotland vs West Indies,Michael Leask,6,Scotland,out,4.0,6.0,8.0,0.0,0.0,66.66,1298137
44,Scotland vs West Indies,Chris Greaves,7,Scotland,out,16.0,11.0,19.0,2.0,0.0,145.45,1298137
45,Scotland vs West Indies,Kyle Mayers,1,West Indies,out,20.0,13.0,12.0,3.0,1.0,153.84,1298137
46,Scotland vs West Indies,Evin Lewis,2,West Indies,out,14.0,13.0,30.0,1.0,1.0,107.69,1298137
47,Scotland vs West Indies,Brandon King,3,West Indies,out,17.0,15.0,24.0,3.0,0.0,113.33,1298137
48,Scotland vs West Indies,Nicholas Pooran,4,West Indies,out,5.0,9.0,14.0,0.0,0.0,55.55,1298137
49,Scotland vs West Indies,Shamarh Brooks,5,West Indies,out,4.0,9.0,24.0,0.0,0.0,44.44,1298137
50,Scotland vs West Indies,Rovman Powell,6,West Indies,out,5.0,6.0,12.0,0.0,0.0,83.33,1298137
51,Scotland vs West Indies,Jason Holder,7,West Indies,out,38.0,33.0,37.0,4.0,1.0,115.15,1298137
52,Scotland vs West Indies,Akeal Hosein,8,West Indies,out,1.0,1.0,4.0,0.0,0.0,100.0,1298137
53,Scotland vs West Indies,Alzarri Joseph,9,West Indies,out,0.0,1.0,4.0,0.0,0.0,0.0,1298137
54,Scotland vs West Indies,Odean Smith,10,West Indies,out,5.0,8.0,14.0,0.0,0.0,62.5,1298137
55,Scotland vs West Indies,Obed McCoy,11,West Indies,out,2.0,3.0,10.0,0.0,0.0,66.66,1298137
56,Zimbabwe vs Ireland,Regis Chakabva,1,Zimbabwe,out,0.0,2.0,3.0,0.0,0.0,0.0,1298138
57,Zimbabwe vs Ireland,Craig Ervine,2,Zimbabwe,out,9.0,12.0,28.0,1.0,0.0,75.0,1298138
58,Zimbabwe vs Ireland,Wessly Madhevere,3,Zimbabwe,out,22.0,19.0,22.0,4.0,0.0,115.78,1298138
59,Zimbabwe vs Ireland,Sean Williams,4,Zimbabwe,out,12.0,11.0,24.0,0.0,1.0,109.09,1298138
60,Zimbabwe vs Ireland,Sikandar Raza,5,Zimbabwe,out,82.0,48.0,72.0,5.0,5.0,170.83,1298138
61,Zimbabwe vs Ireland,Milton Shumba,6,Zimbabwe,out,16.0,14.0,26.0,1.0,0.0,114.28,1298138
62,Zimbabwe vs Ireland,Ryan Burl,7,Zimbabwe,out,1.0,4.0,9.0,0.0,0.0,25.0,1298138
63,Zimbabwe vs Ireland,Luke Jongwe,8,Zimbabwe,out,20.0,10.0,14.0,3.0,0.0,200.0,1298138
64,Zimbabwe vs Ireland,Paul Stirling,1,Ireland,out,0.0,2.0,3.0,0.0,0.0,0.0,1298138
65,Zimbabwe vs Ireland,Andy Balbirnie,2,Ireland,out,3.0,4.0,20.0,0.0,0.0,75.0,1298138
66,Zimbabwe vs Ireland,Lorcan Tucker,3,Ireland,out,11.0,11.0,10.0,2.0,0.0,100.0,1298138
67,Zimbabwe vs Ireland,Harry Tector,4,Ireland,out,1.0,4.0,5.0,0.0,0.0,25.0,1298138
68,Zimbabwe vs Ireland,Curtis Campher,5,Ireland,out,27.0,22.0,41.0,1.0,0.0,122.72,1298138
69,Zimbabwe vs Ireland,George Dockrell,6,Ireland,out,24.0,20.0,25.0,3.0,0.0,120.0,1298138
70,Zimbabwe vs Ireland,Gareth Delany,7,Ireland,out,24.0,20.0,23.0,1.0,1.0,120.0,1298138
71,Zimbabwe vs Ireland,Mark Adair,8,Ireland,out,9.0,10.0,18.0,0.0,1.0,90.0,1298138
72,Zimbabwe vs Ireland,Simi Singh,9,Ireland,out,0.0,1.0,1.0,0.0,0.0,0.0,1298138
73,Zimbabwe vs Ireland,Barry McCarthy,10,Ireland,out,22.0,16.0,23.0,1.0,2.0,137.5,1298138
74,Zimbabwe vs Ireland,Josh Little,11,Ireland,out,7.0,11.0,17.0,1.0,0.0,63.63,1298138
75,Namibia vs Netherlands,Michael van Lingen,1,Namibia,out,20.0,19.0,20.0,3.0,0.0,105.26,1298139
76,Namibia vs Netherlands,Divan la Cock,2,Namibia,out,0.0,2.0,5.0,0.0,0.0,0.0,1298139
77,Namibia vs Netherlands,Stephan Baard,3,Namibia,out,19.0,22.0,46.0,0.0,0.0,86.36,1298139
78,Namibia vs Netherlands,Jan Nicol Loftie-Eaton,4,Namibia,out,0.0,2.0,3.0,0.0,0.0,0.0,1298139
79,Namibia vs Netherlands,Jan Frylinck,5,Namibia,out,43.0,48.0,63.0,1.0,1.0,89.58,1298139
