,Match,Team,Player,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Wide,No ball,Match Id
0,Namibia vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4.0,0.0,23.0,1.0,5.75,7.0,0.0,0.0,2.0,0.0,1298135
1,Namibia vs Sri Lanka,Sri Lanka,Dushmantha Chameera,4.0,0.0,39.0,1.0,9.75,6.0,3.0,1.0,2.0,0.0,1298135
2,Namibia vs Sri Lanka,Sri Lanka,Pramod Madushan,4.0,0.0,37.0,2.0,9.25,6.0,3.0,1.0,0.0,0.0,1298135
3,Namibia vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4.0,0.0,36.0,1.0,9.0,7.0,3.0,1.0,1.0,0.0,1298135
4,Namibia vs Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva,4.0,0.0,27.0,1.0,6.75,8.0,1.0,1.0,0.0,0.0,1298135
5,Namibia vs Sri Lanka,Namibia,Gerhard Erasmus,1.0,0.0,8.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,1298135
6,Namibia vs Sri Lanka,Namibia,David Wiese,4.0,0.0,16.0,2.0,4.0,13.0,1.0,0.0,0.0,0.0,1298135
7,Namibia vs Sri Lanka,Namibia,Bernard Scholtz,4.0,0.0,18.0,2.0,4.5,10.0,1.0,0.0,0.0,0.0,1298135
8,Namibia vs Sri Lanka,Namibia,Ben Shikongo,3.0,1.0,22.0,2.0,7.33,6.0,3.0,0.0,0.0,0.0,1298135
9,Namibia vs Sri Lanka,Namibia,JJ Smit,3.0,0.0,16.0,1.0,5.33,7.0,0.0,0.0,1.0,0.0,1298135
10,Namibia vs Sri Lanka,Namibia,Jan Frylinck,4.0,0.0,26.0,2.0,6.5,10.0,0.0,2.0,1.0,0.0,1298135
11,United Arab Emirates vs Netherlands,Netherlands,Fred Klaassen,4.0,0.0,13.0,2.0,3.25,18.0,0.0,0.0,3.0,0.0,1298136
12,United Arab Emirates vs Netherlands,Netherlands,Tim Pringle,4.0,0.0,13.0,1.0,3.25,11.0,0.0,0.0,0.0,0.0,1298136
13,United Arab Emirates vs Netherlands,Netherlands,Logan van Beek,2.0,0.0,19.0,0.0,9.5,5.0,0.0,2.0,1.0,0.0,1298136
14,United Arab Emirates vs Netherlands,Netherlands,Bas de Leede,3.0,0.0,19.0,3.0,6.33,9.0,2.0,0.0,2.0,0.0,1298136
15,United Arab Emirates vs Netherlands,Netherlands,Paul van Meekeren,4.0,0.0,21.0,0.0,5.25,11.0,1.0,0.0,0.0,0.0,1298136
16,United Arab Emirates vs Netherlands,Netherlands,Roelof van der Merwe,3.0,0.0,19.0,1.0,6.33,7.0,0.0,1.0,0.0,0.0,1298136
17,United Arab Emirates vs Netherlands,United Arab Emirates,Junaid Siddique,4.0,0.0,24.0,3.0,6.0,10.0,2.0,0.0,1.0,0.0,1298136
18,United Arab Emirates vs Netherlands,United Arab Emirates,Basil Hameed,1.0,0.0,7.0,1.0,7.0,4.0,0.0,1.0,0.0,0.0,1298136
19,United Arab Emirates vs Netherlands,United Arab Emirates,Aayan Afzal Khan,3.0,0.0,15.0,1.0,5.0,8.0,1.0,0.0,0.0,0.0,1298136
20,United Arab Emirates vs Netherlands,United Arab Emirates,Karthik Meiyappan,4.0,0.0,22.0,1.0,5.5,11.0,2.0,0.0,0.0,0.0,1298136
21,United Arab Emirates vs Netherlands,United Arab Emirates,Zahoor Khan,4.0,0.0,11.0,1.0,2.75,14.0,0.0,0.0,0.0,0.0,1298136
22,United Arab Emirates vs Netherlands,United Arab Emirates,Zawar Farid,2.5,0.0,24.0,0.0,8.47,2.0,2.0,0.0,0.0,0.0,1298136
23,United Arab Emirates vs Netherlands,United Arab Emirates,Kashif Daud,1.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1298136
24,Scotland vs West Indies,West Indies,Kyle Mayers,2.0,0.0,24.0,0.0,12.0,5.0,5.0,0.0,2.0,0.0,1298137
25,Scotland vs West Indies,West Indies,Akeal Hosein,4.0,0.0,31.0,0.0,7.75,8.0,2.0,1.0,0.0,0.0,1298137
26,Scotland vs West Indies,West Indies,Alzarri Joseph,4.0,0.0,28.0,2.0,7.0,9.0,3.0,0.0,2.0,0.0,1298137
27,Scotland vs West Indies,West Indies,Obed McCoy,3.0,0.0,25.0,0.0,8.33,6.0,4.0,0.0,0.0,0.0,1298137
28,Scotland vs West Indies,West Indies,Jason Holder,3.0,0.0,14.0,2.0,4.66,8.0,1.0,0.0,0.0,0.0,1298137
29,Scotland vs West Indies,West Indies,Odean Smith,4.0,0.0,31.0,1.0,7.75,6.0,3.0,0.0,1.0,0.0,1298137
30,Scotland vs West Indies,Scotland,Mark Watt,4.0,0.0,12.0,3.0,3.0,16.0,1.0,0.0,1.0,0.0,1298137
31,Scotland vs West Indies,Scotland,Brad Wheal,4.0,0.0,32.0,2.0,8.0,10.0,4.0,1.0,0.0,0.0,1298137
32,Scotland vs West Indies,Scotland,Josh Davey,3.0,0.0,34.0,1.0,11.33,8.0,4.0,2.0,1.0,0.0,1298137
33,Scotland vs West Indies,Scotland,Safyaan Sharif,3.3,0.0,23.0,1.0,6.57,7.0,2.0,0.0,2.0,0.0,1298137
34,Scotland vs West Indies,Scotland,Michael Leask,4.0,0.0,15.0,2.0,3.75,11.0,0.0,0.0,1.0,0.0,1298137
35,Zimbabwe vs Ireland,Ireland,Josh Little,4.0,0.0,24.0,3.0,6.0,11.0,3.0,0.0,0.0,0.0,1298138
36,Zimbabwe vs Ireland,Ireland,Mark Adair,4.0,0.0,39.0,2.0,9.75,6.0,3.0,1.0,2.0,0.0,1298138
37,Zimbabwe vs Ireland,Ireland,Barry McCarthy,4.0,0.0,24.0,0.0,6.0,11.0,2.0,0.0,2.0,0.0,1298138
38,Zimbabwe vs Ireland,Ireland,Curtis Campher,3.0,0.0,29.0,0.0,9.66,6.0,2.0,2.0,0.0,0.0,1298138
39,Zimbabwe vs Ireland,Ireland,Simi Singh,3.0,0.0,31.0,2.0,10.33,5.0,2.0,2.0,1.0,0.0,1298138
40,Zimbabwe vs Ireland,Ireland,Gareth Delany,2.0,0.0,21.0,0.0,10.5,4.0,2.0,1.0,1.0,0.0,1298138
41,Zimbabwe vs Ireland,Zimbabwe,Richard Ngarava,4.0,0.0,22.0,2.0,5.5,13.0,3.0,0.0,0.0,0.0,1298138
42,Zimbabwe vs Ireland,Zimbabwe,Tendai Chatara,4.0,0.0,22.0,2.0,5.5,13.0,1.0,1.0,2.0,0.0,1298138
43,Zimbabwe vs Ireland,Zimbabwe,Blessing Muzarabani,4.0,0.0,23.0,3.0,5.75,14.0,0.0,2.0,0.0,1.0,1298138
44,Zimbabwe vs Ireland,Zimbabwe,Luke Jongwe,2.0,0.0,24.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,1298138
45,Zimbabwe vs Ireland,Zimbabwe,Sean Williams,3.0,0.0,20.0,1.0,6.66,3.0,0.0,0.0,0.0,0.0,1298138
46,Zimbabwe vs Ireland,Zimbabwe,Sikandar Raza,3.0,0.0,22.0,1.0,7.33,8.0,1.0,1.0,1.0,0.0,1298138
47,Namibia vs Netherlands,Netherlands,Fred Klaassen,3.0,0.0,15.0,0.0,5.0,11.0,1.0,0.0,0.0,0.0,1298139
48,Namibia vs Netherlands,Netherlands,Tim Pringle,3.0,0.0,15.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,1298139
49,Namibia vs Netherlands,Netherlands,Bas de Leede,3.0,0.0,18.0,2.0,6.0,6.0,1.0,0.0,0.0,0.0,1298139
50,Namibia vs Netherlands,Netherlands,Colin Ackermann,3.0,0.0,17.0,1.0,5.66,8.0,2.0,0.0,0.0,0.0,1298139
51,Namibia vs Netherlands,Netherlands,Paul van Meekeren,4.0,0.0,18.0,1.0,4.5,11.0,1.0,0.0,1.0,0.0,1298139
52,Namibia vs Netherlands,Netherlands,Timm van der Gugten,3.0,0.0,29.0,0.0,9.66,4.0,1.0,1.0,2.0,0.0,1298139
53,Namibia vs Netherlands,Netherlands,Roelof van der Merwe,1.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1298139
54,Namibia vs Netherlands,Namibia,Bernard Scholtz,4.0,0.0,21.0,1.0,5.25,10.0,0.0,1.0,0.0,0.0,1298139
55,Namibia vs Netherlands,Namibia,David Wiese,2.3,0.0,22.0,0.0,8.8,4.0,3.0,0.0,0.0,0.0,1298139
56,Namibia vs Netherlands,Namibia,Gerhard Erasmus,3.0,0.0,13.0,0.0,4.33,8.0,0.0,0.0,1.0,0.0,1298139
57,Namibia vs Netherlands,Namibia,Ben Shikongo,1.0,0.0,18.0,0.0,18.0,1.0,0.0,2.0,1.0,0.0,1298139
58,Namibia vs Netherlands,Namibia,JJ Smit,4.0,0.0,24.0,2.0,6.0,9.0,2.0,0.0,0.0,0.0,1298139
59,Namibia vs Netherlands,Namibia,Jan Frylinck,4.0,1.0,16.0,1.0,4.0,11.0,1.0,0.0,0.0,0.0,1298139
60,Namibia vs Netherlands,Namibia,Jan Nicol Loftie-Eaton,1.0,0.0,8.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,1298139
61,Sri Lanka vs United Arab Emirates,United Arab Emirates,Junaid Siddique,4.0,0.0,36.0,0.0,9.0,8.0,2.0,1.0,2.0,0.0,1298140
62,Sri Lanka vs United Arab Emirates,United Arab Emirates,Kashif Daud,1.0,0.0,14.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1298140
63,Sri Lanka vs United Arab Emirates,United Arab Emirates,Zahoor Khan,4.0,0.0,26.0,2.0,6.5,10.0,3.0,0.0,0.0,0.0,1298140
64,Sri Lanka vs United Arab Emirates,United Arab Emirates,Aayan Afzal Khan,3.0,0.0,16.0,1.0,5.33,7.0,1.0,0.0,0.0,0.0,1298140
65,Sri Lanka vs United Arab Emirates,United Arab Emirates,Aryan Lakra,3.0,0.0,24.0,1.0,8.0,5.0,3.0,0.0,0.0,0.0,1298140
66,Sri Lanka vs United Arab Emirates,United Arab Emirates,Karthik Meiyappan,4.0,0.0,19.0,3.0,4.75,12.0,0.0,1.0,0.0,0.0,1298140
67,Sri Lanka vs United Arab Emirates,United Arab Emirates,Basil Hameed,1.0,0.0,13.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,1298140
68,Sri Lanka vs United Arab Emirates,Sri Lanka,Pramod Madushan,3.0,0.0,14.0,1.0,4.66,12.0,2.0,0.0,1.0,0.0,1298140
69,Sri Lanka vs United Arab Emirates,Sri Lanka,Maheesh Theekshana,3.1,0.0,15.0,2.0,4.73,10.0,2.0,0.0,0.0,0.0,1298140
70,Sri Lanka vs United Arab Emirates,Sri Lanka,Dushmantha Chameera,3.5,0.0,15.0,3.0,3.91,16.0,0.0,1.0,0.0,0.0,1298140
