,Team 1,Team 2,Winner,Margin,Ground,Date,Match Id
0,Namibia,Sri Lanka,Namibia,55 runs, Geelong,16-Oct-2022,1298135
1,United Arab Emirates,Netherlands,Netherlands,3 wickets, Geelong,16-Oct-2022,1298136
2,Scotland,West Indies,Scotland,42 runs, Hobart,17-Oct-2022,1298137
3,Zimbabwe,Ireland,Zimbabwe,31 runs, Hobart,17-Oct-2022,1298138
4,Namibia,Netherlands,Netherlands,5 wickets, Geelong,18-Oct-2022,1298139
5,Sri Lanka,United Arab Emirates,Sri Lanka,79 runs, Geelong,18-Oct-2022,1298140
6,Scotland,Ireland,Ireland,6 wickets, Hobart,19-Oct-2022,1298141
7,West Indies,Zimbabwe,West Indies,31 runs, Hobart,19-Oct-2022,1298142
8,Sri Lanka,Netherlands,Sri Lanka,16 runs, Geelong,20-Oct-2022,1298143
9,United Arab Emirates,Namibia,U.A.E.,7 runs, Geelong,20-Oct-2022,1298144
10,West Indies,Ireland,Ireland,9 wickets, Hobart,21-Oct-2022,1298145
11,Scotland,Zimbabwe,Zimbabwe,5 wickets, Hobart,21-Oct-2022,1298146
12,New Zealand,Australia,New Zealand,89 runs, Sydney,22-Oct-2022,1298147
13,Afghanistan,England,England,5 wickets, Perth,22-Oct-2022,1298148
14,Ireland,Sri Lanka,Sri Lanka,9 wickets, Hobart,23-Oct-2022,1298149
15,Pakistan,India,India,4 wickets, Melbourne,23-Oct-2022,1298150
16,Bangladesh,Netherlands,Bangladesh,9 runs, Hobart,24-Oct-2022,1298151
17,Zimbabwe,South Africa,none,none, Hobart,24-Oct-2022,1298152
18,Sri Lanka,Australia,Australia,7 wickets, Perth,25-Oct-2022,1298153
19,Ireland,England,Ireland,5 runs, Melbourne,26-Oct-2022,1298154
20,South Africa,Bangladesh,South Africa,104 runs, Sydney,27-Oct-2022,1298156
21,India,Netherlands,India,56 runs, Sydney,27-Oct-2022,1298157
22,Zimbabwe,Pakistan,Zimbabwe,1 run, Perth,27-Oct-2022,1298158
23,New Zealand,Sri Lanka,New Zealand,65 runs, Sydney,29-Oct-2022,1298161
24,Bangladesh,Zimbabwe,Bangladesh,3 runs, Brisbane,30-Oct-2022,1298162
25,Netherlands,Pakistan,Pakistan,6 wickets, Perth,30-Oct-2022,1298163
26,India,South Africa,South Africa,5 wickets, Perth,30-Oct-2022,1298164
27,Australia,Ireland,Australia,42 runs, Brisbane,31-Oct-2022,1298165
28,Afghanistan,Sri Lanka,Sri Lanka,6 wickets, Brisbane,01-Nov-2022,1298166
29,England,New Zealand,England,20 runs, Brisbane,01-Nov-2022,1298167
30,Zimbabwe,Netherlands,Netherlands,5 wickets, Adelaide,02-Nov-2022,1298168
31,India,Bangladesh,India,5 runs, Adelaide,02-Nov-2022,1298169
32,Pakistan,South Africa,Pakistan,33 runs, Sydney,03-Nov-2022,1298170
33,New Zealand,Ireland,New Zealand,35 runs, Adelaide,04-Nov-2022,1298171
34,Australia,Afghanistan,Australia,4 runs, Adelaide,04-Nov-2022,1298172
35,Sri Lanka,England,England,4 wickets, Sydney,05-Nov-2022,1298173
36,Netherlands,South Africa,Netherlands,13 runs, Adelaide,06-Nov-2022,1298174
37,Bangladesh,Pakistan,Pakistan,5 wickets, Adelaide,06-Nov-2022,1298175
38,India,Zimbabwe,India,71 runs, Melbourne,06-Nov-2022,1298176
39,New Zealand,Pakistan,Pakistan,7 wickets, Sydney,09-Nov-2022,1298177
40,India,England,England,10 wickets, Adelaide,10-Nov-2022,1298178
41,Pakistan,England,England,5 wickets, Melbourne,13-Nov-2022,1298179
